size,avg_us,p50_us,p99_us,bw_gbps
1024,322.4045941606164,320.7180416211486,398.08102883398533,0.0063522668010733176
4096,332.1310372557491,329.0619933977723,433.7219288572669,0.024664963767574537
16384,365.93573191203177,360.6139216572046,549.1690244525671,0.08954577851358114
65536,557.7018118929118,524.7319350019097,1470.5909416079521,0.23502164992995944
262144,1073.2827530438572,1051.1610889807343,1536.0299730673432,0.4884901005938146
1048576,1691.3291066884995,1263.3500155061483,2444.0300185233355,1.2399431853366922
4194304,3317.333315499127,2781.97496663779,6871.821009553969,2.5287202708292966
16777216,8358.6857910268,6561.281974427402,14841.95003286004,4.0143190973898415
67108864,74065.43579418212,72336.11401170492,116313.78799211234,1.8121506551716378
